RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
1113083,201710723,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/9/17,1/6/17,1/7/17,39XX BLOCK OF 2 AV NE,B,B3,5200.3021,-122.326828,47.65501022,"(47.655010223, -122.326828003)"
1113085,201710863,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/9/17,1/9/17,1/9/17,15XX BLOCK OF E OLIN PL,C,C2,6200.3001,-122.3127136,47.63539124,"(47.635391235, -122.312713623)"
1113147,2016395721,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,11/1/16,11/1/16,11/1/16,55XX BLOCK OF NE WINDERMERE RD,U,U3,4100.2017,-122.2675247,47.66775131,"(47.667751312, -122.267524719)"
1113155,20176527,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/6/17,1/6/17,1/6/17,1XX BLOCK OF TAYLOR AV N,Q,Q3,7200.1074,-122.3463135,47.61915207,"(47.619152069, -122.346313477)"
1113159,201712814,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/11/17,1/11/17,,14XX BLOCK OF BOREN AV,E,E3,8300.2014,-122.3284607,47.61296845,"(47.612968445, -122.328460693)"
1113169,201713666,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/11/17,1/1/17,1/11/17,9XX BLOCK OF SPRUCE ST,G,G1,8500.2017,-122.3215866,47.60293198,"(47.602931976, -122.321586609)"
1113194,201713425,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/11/17,1/10/17,1/11/17,47XX BLOCK OF 44 AV SW,W,W2,10500.5013,-122.3881531,47.56023789,"(47.560237885, -122.388153076)"
1113198,2016465807,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/29/16,12/19/16,,4XX BLOCK OF PINE ST,M,M2,8100.2,-122.3373184,47.6113205,"(47.611320496, -122.33731842)"
1113202,201714857,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/12/17,1/10/17,1/12/17,130XX BLOCK OF 20 AV NE,L,L1,200.4014,-122.3072739,47.7238884,"(47.723888397, -122.307273865)"
1113205,2016468130,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/31/16,12/30/16,12/31/16,47XX BLOCK OF RAINIER AV S,R,R3,10300.4,-122.2864914,47.56010819,"(47.560108185, -122.286491394)"
1113210,201712961,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,1/11/17,1/11/17,,9XX BLOCK OF NW 45 ST,B,B2,4700.2075,-122.3696899,47.66146851,"(47.661468506, -122.369689941)"
1113218,201710780,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/9/17,1/9/17,,88XX BLOCK OF 9 AV SW,F,F3,11300.3,-122.3467331,47.52372742,"(47.523727417, -122.346733093)"
1113219,201712022,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,1/10/17,12/31/16,1/1/17,1XX BLOCK OF WESTLAKE AV N,D,D3,7300.3016,-122.3384781,47.61912155,"(47.619121552, -122.338478088)"
1113220,20172643,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,1/3/17,12/30/16,1/3/17,16XX BLOCK OF 4 AV,M,M2,8100.2001,-122.3380508,47.61170578,"(47.61170578, -122.338050842)"
1113225,201719792,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,1/9/17,12/19/16,1/2/17,40XX BLOCK OF SW MARYLAND PL,W,W1,9600.5018,-122.3835373,47.59305573,"(47.593055725, -122.383537292)"
1113230,201713914,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,1/12/17,1/12/17,,65XX BLOCK OF 5 PL S,O,O3,10900.208,-122.3272705,47.54490662,"(47.544906616, -122.327270508)"
1113236,2017900283,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,1/11/17,1/7/17,1/9/17,29XX BLOCK OF 4 AV S,O,O2,9300.3019,-122.3290558,47.57664871,"(47.576648712, -122.329055786)"
1113248,2016464701,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/28/16,12/19/16,12/28/16,60XX BLOCK OF 35 AV SW,W,W3,10600.1008,-122.3763809,47.54786682,"(47.547866821, -122.37638092)"
